,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
123,124,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,119,31M,1024,Unknown,,,,,,,,,,,
124,125,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96%,568,149M,768,8192,,,,,,,,,,,
125,126,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99%,127,33M,512,512,,,,,,,,,,,
126,127,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,9279,4B,768,512,,,,,,,,,,,
127,128,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87,22M,384,512,,,,,,,,,,,
128,129,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,2367,1B,768,512,,,,,,,,,,,
129,130,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,209,110M,768,512,,,,,,,,,,,
130,131,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639,335M,768,512,,,,,,,,,,,
131,132,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,197,1B,4096,75,,,,,,,,,,,
132,133,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,1061,278M,768,512,,,,,,,,,,,
133,134,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,1037,272M,1024,2048,,,,,,,,,,,
134,135,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,Unknown,Unknown,1792,512,,,,,,,,,,,
135,136,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100%,Unknown,Unknown,1792,512,,,,,,,,,,,
136,137,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,283,74M,768,1024,,,,,,,,,,,
137,138,[FRIDA](https://huggingface.co/ai-forever/FRIDA),84%,3141,823M,1536,512,,,,,,,,,,,
138,139,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),99%,1242,326M,1792,512,,,,,,,,,,,
139,140,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,416,109M,768,512,,,,,,,,,,,
140,141,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,1278,335M,1024,512,,,,,,,,,,,
141,142,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),⚠️ NA,195,102M,1024,512,,,,,,,,,,,
